product_category_name_english,price
health_beauty,921508.21
watches_gifts,920328.68
bed_bath_table,778606.35
sports_leisure,719045.93
computers_accessories,675564.5
furniture_decor,548309.52
housewares,473771.09
cool_stuff,464519.51
auto,432326.68
garden_tools,370929.44
toys,358994.92
baby,311746.18
perfumery,297328.43
telephony,244648.33
office_furniture,204549.61000000002
stationery,169702.26
computers,158285.84
pet_shop,154342.54
small_appliances,150206.93
musical_instruments,148697.68
consoles_games,123570.7
electronics,118394.09
fashion_bags_accessories,114524.21
luggage_accessories,107557.05
construction_tools_construction,106071.41
home_appliances_2,90584.47
home_construction,61097.35
home_appliances,59065.17
furniture_living_room,51231.56
fixed_telephony,51031.090000000004
agro_industry_and_commerce,50918.63
home_confort,44465.6
air_conditioning,42603.01
kitchen_dining_laundry_garden_furniture,36580.02
audio,36308.95
small_appliances_home_oven_and_coffee,34477.12
books_general_interest,33445.95
construction_tools_safety,33347.45
construction_tools_lights,30652.7
industry_commerce_and_business,29387.72
market_place,21630.81
food,19833.64
costruction_tools_garden,18676.63
fashion_shoes,17426.79
signaling_and_security,15121.32
drinks,14425.27
art,13609.69
books_technical,13220.47
furniture_bedroom,12957.35
food_drink,11273.35
costruction_tools_tools,10566.74
fashion_male_clothing,8347.41
fashion_underwear_beach,7450.87
tablets_printing_image,5858.16
dvds_blu_ray,5800.49
cine_photo,5567.7300000000005
music,5473.66
christmas_supplies,5427.13
party_supplies,4073.5800000000004
books_imported,3177.1
furniture_mattress_and_upholstery,3006.0
fashio_female_clothing,2040.66
fashion_sport,1819.91
la_cuisine,1554.0
arts_and_craftmanship,1464.82
diapers_and_hygiene,1032.69
flowers,809.95
home_comfort_2,572.88
cds_dvds_musicals,555.0
fashion_childrens_clothes,279.87
security_and_services,183.29
